idx	label	source	gap_s	call	side	t	text
12	complete	change	0.416	ta_IN_9829744_20230117	Right	414.432	அய்யோ Fan எல்லா இதுலையும் fan இருக்குங்க fan வந்து mandatory ல fan இருக்கு single single room ல மட்டும் தான் AC
13	incomplete	hold_intra	0.256	ta_IN_10103101_20230331	Left	404.288	sleep பண்ணிட்டு போற மாதிரி இருக்கும் எந்த disturbance ம் இல்லாம இருக்கும் படுத்துட்டு
14	complete	change	0.224	ta_IN_10102929_20230117	Right	147.872	madam இந்த twenty three க்குள்ள சொல்றீங்களா madam twenty three thousand க்குள்ள சொல்லுங்களேன். அதான் twenty-five இருந்தாக்கூட okay madam twenty five இருந்தாக்கூட எனக்கு okay தான். twenty அந்த range ல எடுத்தா தான் நல்லா இருக்கும் அப்படின்னு சொல்றான். ஒரு அஞ்சு ஆறு வருஷம் use பண்ற மாதிரி அப்படின்னு சொல்லிட்டு ஒரு twenty five குள்ள சொல்லுங்க madam
15	incomplete	hold_intra	0.224	ta_IN_10102927_20230328	Left	234.208	சொன்ன மாறியே நீங்க பண்ணுங்க sir old card block பண்ணிட்டு new card அ
16	complete	change	1.216	ta_IN_10102663_20230123	Right	348.48	கண்டிப்பா மாத்தி குடுப்பேங்கன்ன அந்த உறுதி அளிக்கணும் அதுதான் எனக்கு ரொம்ப முக்கியம் கண்டிப்பா ஒங்களால உறுதியா ஒங்களால சொல்ல முடியும்மா இந்த seat வந்து கண்டிப்பா ஒங்களுக்கு வந்து குத்துருவேன் sir அப்டின்னு சொல்லிட்டு அந்த உறுத்திய ஒங்களால குடுக்க முடியும்மா
17	complete	change	0.48	ta_IN_10102694_20230117	Right	510.944	பண்றீங்க அவன் வந்து கத்திட்டு இருக்கான்.
18	incomplete	hold_intra	0.256	ta_IN_9829446_20230331	Right	1440.288	நல்ல cooling இருக்க place பாத்து
19	complete	change	1.376	ta_IN_9829836_20230331	Right	805.792	சரி okay mam வேற எந்த details ஆஹ் வேணுமா? mam
20	incomplete	hold_intra	0.288	ta_IN_9829446_20230331	Left	1629.792	க்காக தானஅது உண்மை தான் போகணும் ஆனா நம்மக்கு
21	complete	change	0.224	ta_IN_10102450_20230112	Left	326.464	ஆ, இப்ப, first கன்னியாகுமரியில, என்ன special ன்னு, பாத்தீங்கன்னா, ஆ, விவேகானந்தர் மண்டபம் இருக்கு first பக்கத்துல, அது பக்கத்துல திருவள்ளுவர் சிலை இருக்கு. but இது நம்ம boat ல போற மாதிரி இருக்கும். one to five க்குள்ள, நம்ம அங்க reach ஆயிடலாம் sir
22	complete	change	0.224	ta_IN_10103101_20230331	Left	62.368	okay mam available லா இருக்கு mam திருச்சியில available லா இருக்கு. நீங்க நா கேட்கிற question என்னா நீங்கா எப்போ போகணும் இப்போ இன்னைக்கு night friday வந்து பார்த்தீங்கன்னா இன்னைக்கு இல்ல tomorrow இல்லனா tomorrow after
23	complete	change	0.48	ta_IN_10246900_20230328	Left	80.032	உம் சாப்பிடதான
24	incomplete	hold_intra	0.256	ta_IN_10102781_20230331	Left	504.096	ங்களா. உங்க வீட்ல எத்தன பேர் ஒருத்தர்க்கு நீங்க insurance
25	incomplete	hold_intra	0.256	ta_IN_9829467_20230117	Left	1000.128	மறுபடியும் phone பண்ணா phone not reachable அஹ் switch off அந்த மாதிரி வந்துகிட்டே அந்த one day full ஆ போச்சு மறுபடியும் கூப்பிடுறாங்க phone எடுக்க மாட்டேங்கறாங்க ஏதாவது ஒரு reason சொல்றாங்க இந்த இடத்துல வந்துருச்சு driver ஏதாவது ஒரு reason சொல்லிட்டே இருந்திருக்காங்க அப்புறம் மூணாவது நாள் packers complaint பண்ணி அப்படி இப்படின்னு பேசினதுக்கு
26	incomplete	hold_intra	1.952	ta_IN_10264720_20230331	Right	1401.056	அழுக்காயிரும்
27	incomplete	hold_intra	0.48	ta_IN_9829608_20230404	Left	222.848	நீங்க கேள்வி பட்டு இருப்பிங்க. இருட்டு கடை அல்வான்னு ரொம்ப ரொம்ப famous first of all அந்த கடை ஆரம்பிக்கும் பொழுது ஒரே பாரு கடை தானா இருக்குமா அந்த light வந்து evening time ஆனா சோலா குல்லையே அந்த கடைல வித்துருமா? அல்வா எல்லாமே
28	incomplete	hold_intra	0.928	ta_IN_9829575_20230331	Right	885.664	okay okay sister அப்பறம் வேற BSNL வந்து three G வரைக்கு தான் இருக்கு. four G
29	incomplete	hold_intra	0.256	ta_IN_9829853_20230331	Left	122.752	okay நா december வென christmas time ல போன நல்ல இருக்கும் அப்படி நா december போயிருந்தேன். december
30	incomplete	hold_intra	0.576	ta_IN_10102885_20230404	Right	222.368	இது வீட்டு number னாலதான், payment அ,
31	complete	change	1.184	ta_IN_9829468_20230404	Left	606.752	social insurance அம்மா, இப்பதாம்மா, நீ, correct ஆன point கேட்கிற. social ன்னா என்ன first நீ உனக்கு தெரிஞ்சதை சொல்றியா?
32	incomplete	hold_intra	0.224	ta_IN_10103136_20230123	Left	635.392	ரூபா போடிங்கனா பத்து ரூபா ஆயிரருபா போட்டா
33	complete	change	0.064	ta_IN_10102450_20230112	Left	442.4	அங்க வந்து, குரங்கு, இதெல்லாம் நிறைய பாக்கலாம், நம்ம. ஆ, அங்க வந்து, திருப்பரப்பு falls குத்தாலம் அருவி இரண்டுமே இருக்கு. நம்ம இரண்டு இடமுமே நமக்கு cover ஆகற மாதிரிதான் இருக்கும்.
34	complete	change	0.672	ta_IN_10264659_20230328	Right	171.424	பரவாயில்லல எத்தன மணிக்கு போனுமா காலைல
35	complete	change	1.216	ta_IN_10103148_20230112	Right	112.96	ma'am அது எப்படி ma'am நீங்க amount ஏறலைனு சொல்ல முடியும்.
36	complete	change	0.192	ta_IN_9829400_20230328	Left	24.384	explain பண்றிங்களா
37	complete	change	1.056	ta_IN_10264671_20230404	Left	675.776	ரொம்ப நன்றி mam
38	incomplete	hold_intra	0.48	ta_IN_10246900_20230328	Left	505.824	மாட்டேன் ஏனா வந்து New year வேற celebration இங்க வேற friends
39	complete	change	0.512	ta_IN_10102694_20230117	Right	154.56	Automatic ஆ ஏதாவது அமுக்கிருக்கும். அதுக்கெல்லாம் நான் பொறுப்பாக முடியுமா?
40	incomplete	hold_intra	0.544	ta_IN_10102878_20230117	Right	136.288	அஹ் உங்க செட்டிநாடு மெஸ் ஓட அஹ் non veg
41	complete	change	1.056	ta_IN_9829706_20230404	Right	106.176	Royal Enfield எடுக்கலாம்ல?
42	incomplete	hold_intra	0.32	ta_IN_9829467_20230117	Right	1709.184	உம் பரவால்ல எனக்குமே தேவையான details நிறையவே நீ சொன்ன ஆஹ்
43	complete	change	1.248	ta_IN_10255855_20230117	Right	449.6	வந்த மருத்துவர்னு நிரூபிக்கிறாரா.
44	incomplete	hold_intra	1.664	ta_IN_10264671_20230404	Left	153.088	நம்ம உடம்புக்கு ஏதாவது ஒன்னு இருக்கு அப்படின்னா medical insurance கொடுக்க மாட்டாங்க
45	complete	change	0.768	ta_IN_10255843_20230117	Left	1162.656	மழயில மழ வந்துனு இருக்கே ஊருக்கு வரியான்னு கேட்டன்
46	complete	change	0.288	ta_IN_10102714_20230112	Right	253.216	இல்லை madam, எதான் எனக்கு வந்து, ரெண்டு பல்லு எடுத்துட்டுதான் வந்து, அந்த braces போட்டாங்க.
47	incomplete	hold_intra	0.704	ta_IN_9829759_20230117	Right	676.384	உள்ளுந்தபருப்பு ஒரு கிலோ
48	complete	change	0.64	ta_IN_9829502_20230117	Left	144.0	ஓ, அப்படி என்னதான் பண்ண? கொஞ்சம் மெதுவா சொல்லு
49	complete	change	1.472	ta_IN_9829608_20230404	Left	1743.072	வேற office work எல்லாம் எப்படி போய்கிட்டு இருக்கு. நா இன்னைக்கு இல்லாம ரொம்ப jolly ஆஹ் இருந்துருப்பீங்க நினைக்கிறேன்
50	incomplete	hold_intra	0.352	ta_IN_10103148_20230112	Right	153.76	okay madam ஒரு நிமிஷம்
51	incomplete	hold_intra	0.256	ta_IN_10219354_20230117	Left	1614.976	tour போயிருக்கோம். அஹ் may
52	complete	change	0.256	ta_IN_10264642_20230117	Right	137.888	சேரி சேரி wait பண்ணுங்க கண்டிப்பா கிடைக்கும் நமக்காகவே.
53	complete	change	0.096	ta_IN_10102929_20230117	Right	638.784	mam. அதுலையே குடுத்துருங்க madam.
54	incomplete	hold_intra	0.384	ta_IN_9829467_20230117	Left	1314.016	இல்ல கதிர் எனக்கு details சரியா தெரியல உம் நான் கேட்கிறேன் கேட்டுட்டு உனக்கு refer பண்ற
55	incomplete	hold_intra	1.632	ta_IN_10102828_20230328	Left	697.6	okay ங்களா. ஆ. extra five thousand போட்றதுல உங்களுக்கு ஒன்னும் problem
56	complete	change	0.48	ta_IN_9829744_20230117	Right	54.56	மாங்காடு medical college okay ங்க இப்ப உங்களுக்கு எப்படி full ஆஹ் எல்லாருமே female ஆஹ் இல்ல male ஆஹ்?
57	incomplete	hold_intra	0.96	ta_IN_9829881_20230404	Right	871.52	ஹம்
58	incomplete	hold_intra	0.288	ta_IN_9829467_20230117	Right	1506.656	ஆஹ் அதுவும் நல்லது தான் என் friend உமே அங்க work பண்ற இடத்துல என்னனா அந்த invoice ஓட தான் அலைவான் ஏன்னா கூட போய் இருக்கேன் but எனக்கு further ஆ இத பத்தி details தெரியல அவன் என்ன இந்த
59	complete	change	0.896	ta_IN_10264659_20230328	Right	1062.88	எத்தன பேர் கூட வேல பாக்குறாங்க ஒரு முப்பது
60	incomplete	hold_intra	0.448	ta_IN_10264659_20230328	Left	507.904	அதான் எதுவுமே சொல்லல இங்க எல்லான் உனக்கு எல்லாமே தெரியும் உனக்கு வந்து பக்கத்துல தான் இருந்தாலும் நாம்ம எல்லாமே தெரிஞ்சுகிட்டு தான
61	incomplete	hold_intra	0.32	ta_IN_9829608_20230404	Left	635.488	காரையார் dam னு சொல்லிட்டு
62	incomplete	hold_intra	0.256	ta_IN_9829400_20230328	Left	776.864	அன்னைக்கு வந்து உங்க Office
63	incomplete	hold_intra	1.44	ta_IN_10264611_20230117	Left	1409.312	விஷயங்கள் நெறையா இருக்கு முதலெல்லாம் வந்து நம்ம போகபோகதான பக்குவம் ஆகுறோம். அப்போவே நம்ம எல்லாமே ஆகாது
64	incomplete	hold_intra	1.504	ta_IN_10255852_20230117	Right	946.72	ஆஹ்
65	incomplete	hold_intra	1.152	ta_IN_10102687_20230112	Left	576.736	sir அந்த மாதிரி, எந்த issue ம் இருக்காதுங்க sir நீங்க கவலையே பட வேணாம். நீங்க தாராளமா வரலாம் sir உங்களுக்கு
66	incomplete	hold_intra	0.928	ta_IN_10264671_20230404	Left	432.416	ஆஹ் உங்க இஷ்டம் mam one
67	incomplete	hold_intra	0.256	ta_IN_9829608_20230404	Right	263.872	ஆமா mam ஆமா mam நெறையாவே அந்த கடைய பத்தி கேள்வி பட்டு இருக்கேன். அது மட்டும் இல்லாம இன்னும் என்ன என்ன special இருக்கு அந்த நெல்லையப்பர் கோவில் கேள்வி பட்டு இருக்கேன். இன்னும் போனது இல்லை.
68	incomplete	hold_intra	0.384	ta_IN_9829502_20230117	Right	1309.536	அந்த இப்ப சில cinema படத்துல இந்த கதை மாதிரி நல்ல கதைகள் உள்ள படங்கள் இருக்கும்
69	complete	change	0.032	ta_IN_10264611_20230117	Right	1659.296	தூங்க வச்சுருவேன் எப்படியாச்சும் தூங்க வச்சுருவேன்.
70	complete	change	1.248	ta_IN_10219356_20230123	Right	627.872	அப்பதான் பார்த்தீங்கன்னா, திமுக அப்படின்னு, தனிக்கட்சியைப் போட்டு, open பண்ணிடுறாங்க.
71	complete	change	0.256	ta_IN_9829744_20230117	Right	36.608	சென்னைல எந்த ஏரியா னு தெரிஞ்சிகலம்மா?
72	complete	change	0.224	ta_IN_10102707_20230112	Left	426.272	அந்த மாதிரி வேண்டாம் sir போட்டா ஒரு six month இல்லை one year அந்த மாதிரி போடறமாதிரி ஏதும் plan இருக்கா? ஏன்னா monthly monthly என்னால பண்ணீட்டு இருக்க முடியாது
73	incomplete	hold_intra	0.224	ta_IN_10102687_20230112	Right	79.296	morning ங்கு nine fifteen flight டே
74	incomplete	hold_intra	0.768	ta_IN_10102473_20230331	Left	651.968	இல்ல மாம் உங்களுக்கு fifty percentage எடுத்திருவாங்க mam. approximateஅ அப்பறோம் என்ன பண்ணுவாங்க. sorry thirty இல்ல, sorry mam thirty
75	complete	change	0.224	ta_IN_9829502_20230117	Right	673.664	daily யும் கேட்கணுமா எப்படி டி?
76	complete	change	0.576	ta_IN_10255833_20230117	Left	164.832	எப்படி எல்லாருமே okay வா? உங்களுக்கு comfortable ஆ இருக்கா?
77	incomplete	hold_intra	0.928	ta_IN_10264720_20230331	Right	1312.096	cell ஏ காணொம் அந்த பறந்து
78	complete	change	0.32	ta_IN_10264659_20230328	Left	446.624	எப்ப பார்த்த நீ அவங்கல
79	complete	change	0.32	ta_IN_10103114_20230328	Left	87.232	okay mam okay mam. இல்ல நீங்க work பண்ணிக்கிட்டிருக்கீங்களா இல்ல வீட்லதா இருக்கீங்களா?
80	complete	change	0.288	ta_IN_10102687_20230112	Right	160.672	okay நான் number சொல்றேன் sir visa number
81	complete	change	0.224	ta_IN_10255808_20230117	Right	1043.2	ஓ, சரி, சரி, சரி. உம்
82	complete	change	0.416	ta_IN_9829502_20230117	Left	412.192	என் என் department ல இவ்வளவு பேர் உண்டு, நாலு பேர் உண்டு
83	complete	change	0.8	ta_IN_10255843_20230117	Left	336.288	வந்து இதுவுமே எத்தினி நாளைக்கு இப்டி உயிரை வாங்க போகுதோ
84	incomplete	hold_intra	0.32	ta_IN_10102739_20230329	Right	141.6	ம் சொல்லுங்க. நான் நீங்க சொல்லறதை வச்சு நான் பன்றேன்
85	incomplete	hold_intra	0.288	ta_IN_9829400_20230328	Right	114.208	Money இது வந்து நீங்க Pay பண்ற மாதிரி இருக்கும் அதுதான் அதுதான்
86	incomplete	hold_intra	0.384	ta_IN_9829446_20230331	Left	1732.416	அது உண்மை தான் சரி நம்ம போவோம் நான் உனக்கு வீட்டுல கேட்டுட்டு call பண்ணுறேன் நம்ம அப்பிடி
87	incomplete	hold_intra	1.248	ta_IN_10103083_20230331	Left	197.984	aadharPAN எது இருந்தாலும் okay sir. உங்களுட proof வேணும். அப்பறோம். உங்களுடைய photo copies ரெண்டு. உங்களோட proof xerox யும் ஓரு
88	incomplete	hold_intra	1.376	ta_IN_10102687_20230112	Right	557.056	hello sir
89	complete	change	0.448	ta_IN_10102571_20230331	Left	320.416	ஆமா sir ஆமா sir
90	complete	change	0.672	ta_IN_10102473_20230331	Right	144.352	ஐயோ mam தயவு செஞ்சு எனக்கு cancel பண்ணி விடுங்களேன் எனக்கு இன்னைக்கு வந்து cancel பண்ணனும் எனக்கு. புரிதா எனக்கு வந்து நாளைக்கு நான் அடுத்த train போட்டாச்சு எனக்கு வந்து amount வந்து block ஆயிட்டே கெடக்குது. இத நான் வந்து first class ல வரைக்கும் போட்ருக்கேன் train லயே. எனக்கு வந்து okay யா? இப்போ எனக்கு வந்து amount வந்து எனக்கு refund ஆகவும் இல்ல எதுவுமே ஆகல cancellation னே என்னால பண்ண முடிய மாட்டேங்குது. இது வந்து ~ ஆமா. எனக்கு ஆமாம் எனக்கு வந்து பணம் அவ்வளவு போயிடிச்சுனா நான் வந்து கிட்டத்தட்ட ஆறாயிரத்தி. சொச்சம். ஆஹான் எனக்கு தெரியல சரியா. நான் ரொம்ப பணம் குடுத்து வாங்கியிருக்கேன் நானென் இவளவு குடுத்து போறது வந்து எனக்கு வந்து இதா இருக்கு. cancel பண்ணியும் amount எனக்கு எதுவும் அகல cancel ஏ ஆகல first. அதுதான் எனக்கு ஒரு .
91	complete	change	0.832	ta_IN_10102781_20230331	Left	382.592	voice வந்து கேக்கல கொஞ்சம் sound ஆ பேசறீங்களா?
92	incomplete	hold_intra	0.672	ta_IN_9829374_20230404	Left	419.168	Okay ஆஹ் அதுக்கு அடுத்து இன்னொரு benefit என்னவென்றால் நீங்கள் வந்து இப்பொழுது எங்களுடைய Policy Plan சேர்ந்து ஓர் இரண்டு மாதம் தான் ஆகிறது அதற்குள் உங்களுக்கு வந்து எதாவது Health Issue ஆகிறது உங்களுக்கு அதுக்கு காசு தேவைப்படுகிறது உங்களுடைய Medical இதுக்கு உங்களுக்கு காசு தேவைப்படுகிறது அதுக்கு நீங்கள் வந்து காசு தேடி
93	complete	change	0.384	ta_IN_10255843_20230117	Right	283.456	ஏரி இருந்ச்சுல அந்த நாலு ஏரி ல நம்ம விளையாடிட்டு இருந்தோம் ல அந்த நாலு ஏரியும் மழ வந்து full ஆ தண்ணி ரொம்பி கோடி போயிட்டு இருக்குடா கார்த்தி அந்தா மாதிரி இருக்குடா நிலைமை இப்போ
94	incomplete	hold_intra	1.216	ta_IN_10264635_20230328	Left	619.232	ஆ இப்போ heart patient அ இருக்குறவுங்களுக்கு covid attack ஆகி இருக்கும். அது ரெம்ப
95	incomplete	hold_intra	1.44	ta_IN_10255815_20230123	Left	823.456	அமுதா எண்ணெயில் பொரித்த உணவுகளை நீ எவ்வளவுக்கு எவ்வளவு தவிர்க்கிறாயோ அவ்வளவுக்கு அவ்வளவு உன்னோட அஹ் ஆயுள் வந்து உனக்கு
96	complete	change	1.248	ta_IN_10264629_20230328	Left	144.096	க உப்மா கூட நல்லா இருக்கும் க்கா நீங்கவேற,
97	complete	change	0.768	ta_IN_10103114_20230328	Left	96.448	okay mam okay mam. நம்ம வந்து நம்ம loan process பத்தி உங்களுக்கு explain பண்ணலாமா? ஒரு ten minutes ஆகும்.
98	complete	change	1.408	ta_IN_10103136_20230123	Right	117.792	okay sir இப்போ பணம் போடணும் sir
99	complete	change	0.832	ta_IN_10255855_20230117	Right	1074.688	part two வந்தா ஓடுதா என்னன்னு தெரியல ஆனா review லாம் நல்லாவே இல்ல youtube ல பார்த்ததுக்கு நல்லா இல்ல பொன்னியின் செல்வன் வந்து நல்லா இல்ல படம் தான் அவ்வளவு amount போட்டு எடுத்து இருக்காங்க சொல்லிட்டு.
100	incomplete	hold_intra	0.288	ta_IN_9829468_20230404	Left	974.08	so, ரொம்ப அதனால பாதிப்பாங்க. property காரத்தோட building க்கு அதிகமா தருவாங்க. property ன்னா கம்மிதான். ஆனா,
101	incomplete	hold_intra	1.184	ta_IN_10255829_20230117	Left	429.28	அது தான் மச்சி எப்படி சொல்றது
102	incomplete	hold_intra	0.416	ta_IN_10103114_20230328	Left	173.504	correct ஆ அந்த amount எடுத்து வீடுதா கட்டறீங்க வேற எந்த use ம் பண்ணல அப்படீனு
103	complete	change	0.256	ta_IN_10264720_20230331	Left	255.52	அவுங்கட்டெல்லாம் போய் மன்னிப்பு கேக்குறீங்க
104	complete	change	0.352	ta_IN_10102694_20230117	Left	136.672	அது உங்க Problem amount லாம் திருப்பி போட்டு விட முடியாது Sir நீங்க தான் Sir recharge பண்ணிருக்கீங்க.
105	complete	change	1.088	ta_IN_10264611_20230117	Right	953.344	அப்ப அவங்க சாமி கும்பிடுவாங்கள,
106	incomplete	hold_intra	0.864	ta_IN_9829608_20230404	Left	882.112	ஆகி விழும். அதுவே குளிக்கிறதுக்கு அழகா இருக்கும். அது என்ன சொல்றது இது எல்லாமே மேற்கு தொடர்ச்சி மழையில அமைந்து இருக்கும். இதோட surrounding ல வந்து இதோட அருவியும்
107	incomplete	hold_intra	0.48	ta_IN_10103171_20230117	Left	517.952	அப்படிங்களா சேரி
108	incomplete	hold_intra	0.576	ta_IN_10219356_20230123	Left	742.272	அதே மாதிரி இவரு, ஆஹ் இதெல்லாம் இருக்கும்போதுயா அந்த போராட்டம்
109	complete	change	1.184	ta_IN_9829545_20230112	Right	900.384	வரும் எப்படி என்ன பண்றதுன்னு தெரில அப்படின்னுட்டு அதுக்கு அப்புறம் பொறுமையா பண்ணிட்டு இருப்பேன்.
110	complete	change	0.8	ta_IN_9829744_20230117	Left	776.8	தனியா வச்சிருகிங்களா இல்ல நாங்க இப்ப bachelors apartment லயே families யாராவது இருக்காங்களா mam
111	complete	change	0.288	ta_IN_9829744_20230117	Right	444.288	available twenty-four hours வும் available தான்
112	incomplete	hold_intra	0.384	ta_IN_9829768_20230112	Right	1638.24	உங்க nearby branch ஓட address மட்டும், எனக்கு send பண்ணுங்க, message ல. நான் one time
113	incomplete	hold_intra	0.832	ta_IN_10246900_20230328	Right	635.52	பதினெட்டு லட்ச
114	complete	change	0.16	ta_IN_10102828_20230328	Right	883.36	ஆ location share பண்ணிடுங்க.
115	incomplete	hold_intra	0.64	ta_IN_10264611_20230117	Left	525.664	அவங்க இல்ல அவங்க இல் அது ஆட்டுக்கார அம்மா
116	incomplete	hold_intra	0.384	ta_IN_9829467_20230117	Right	72.416	அதான் mind ல ஒண்ணுமே ஓடல அதான் கொஞ்சம் voice கொஞ்சம் dull ஆ இருக்கிற மாதிரி இருக்கு. மத்தபடி
117	complete	change	0.288	ta_IN_10264720_20230331	Left	1063.328	கேக்குது ஆஹ் இப்படியே பேசுங்க இப்படியே பேசுங்க
118	complete	change	0.288	ta_IN_10102479_20230329	Right	305.824	English அப்பறம் ஹிந்தி, ஒரு sports அப்பறம் இந்த world life அதுமாதிரிலாம் இந்த natural geography அதுலாம் ok but. இந்த english channel ங்கற name ல பாத்தீங்கனா தேவையில்லாத channel லாம் இருக்கு. அது உங்களுக்கு whatsapp ல send பண்ணிரட்டுமா உங்க number சொல்றீங்களா? இல்ல நா நேர்ல detail லா வந்தே சொல்லட்டுமா?
119	incomplete	hold_intra	0.288	ta_IN_10255808_20230117	Left	899.968	க்கு வந்துட்டு அவரோட அஹ் அவர் அவர
120	complete	change	0.8	ta_IN_10264720_20230331	Left	136.864	சாப்ட்டு இருக்கிங்க
121	complete	change	0.192	ta_IN_10255843_20230117	Right	723.136	என்ன போ, இதுக்குன்னு இப்படியா டா கார்த்தி?
122	complete	change	0.288	ta_IN_9829759_20230117	Left	585.024	பழம்லாம் நீங்க என்னென்ன பழம் சொன்னீங்கன்னா? போற்றலாங்க madam அந்த என்னென்ன பழம் எது எதுக்குனு சொன்னீங்கன்னா போற்றலாங்க
123	complete	change	0.864	ta_IN_10102828_20230328	Left	287.776	அடுத்து பாத்தீங்கன்னா ஆஹ் sweet items பாத்தீங்கன்னா gulab jamun னும் ice cream ம் okay ங்களா?
124	incomplete	hold_intra	0.224	ta_IN_10103171_20230117	Right	47.2	five thousand கட்டிருக்கோம்
125	complete	change	0.608	ta_IN_10103049_20230328	Left	207.936	Yes sir உங்களுக்கு clear ஆ இருக்கா sir நா பேசறது?
126	incomplete	hold_intra	1.056	ta_IN_10102707_20230112	Right	565.728	apps வந்து உங்களுக்கு குடுக்குறாங்க okay ங்களா? இது
127	complete	change	0.64	ta_IN_9829759_20230117	Right	596.928	Okay madam அது ஒரு கிலோ போற்றுங்க
128	incomplete	hold_intra	0.352	ta_IN_10246900_20230328	Right	1096.48	alter பண்ணனும் அப்படின்னு சொல்லிட்டு
129	complete	change	0.736	ta_IN_9829525_20230117	Left	855.264	தருவோம் அப்ப நீங்க notification பாத்துட்டு ஆ billing இப்ப வந்துரும் அப்படின்னு சொல்லிட்டே இருக்கலாம்.
130	incomplete	hold_intra	1.536	ta_IN_10264611_20230117	Left	1555.936	ஆமா இங்க ஒரு பையன் இருக்காப்புல காலைல பண்ணது மத்தியானத்துக்கு கிடைக்காது. அதாது ஒருவேல நம்ம சாப்டோம்னா அது அது ரெண்டு நாள் பன்னோமணா நேத்து தான இது பண்ண இனிக்கும் இதே பண்ற அப்படிங்குறாப்புல ஹ்ம்
131	incomplete	hold_intra	0.352	ta_IN_10264659_20230328	Left	749.344	க்கு போன நெறய விசயம் தெரிஞ்சுக்கலா என்ன என்ன system maximum தெரிஞ்சுக்கலான் ஆளுங்க எப்டினு தெரிஞ்சுக்கலான் நெறய இருக்குது bank
132	complete	change	0.48	ta_IN_10102781_20230331	Right	622.368	okay okay madam okay madam okay madam
133	incomplete	hold_intra	1.12	ta_IN_10219354_20230117	Right	508.256	ஆமா, போறேன். நீயும் வா தீபிகா மூணார் கூட்டிட்டு போறாங்களாம்.
134	complete	change	0.928	ta_IN_10103114_20230328	Right	40.48	sir இப்போ வந்து என் பேர் வந்துட்டு ஆனந்தி sir. நா வந்து திருச்சில சுப்ரமணியபுரத்தில இருந்து call பண்றேன்
135	complete	change	0.288	ta_IN_9829502_20230117	Left	1272.16	ஆமா
136	complete	change	0.832	ta_IN_10255807_20230331	Left	682.208	ந்ல்ல எண்ண கிடையாது நல்ல எண்ண நம்ம ஊத்தி சாப்ட அப்டி தான் பாமாயில் use பண்றதுனால ரொம்ப கால் வலி வரும் அது நால நான் குடுக்கவே மாட்டன்
137	complete	change	0.896	ta_IN_10102828_20230328	Right	137.92	ஆ இல்ல sir ஆஹ் என்ன சொல்றது உங்க catering service நீங்க correct அ சொல்றீங்க. நான் என் பையனோட first function இல்லிங்களா நாங்க எங்களுடைய வயசுக்கு நாங்க பண்ற first function. So அந்த பயம் அந்த first time அந்த nervousness எல்லாமே இருக்கு இல்லிங்களா.
