"idx","clip","model","conf","you","agree","your_call","pipeline","source","gap_s","reason","text","sid"
"155","155.wav","incomplete","0.90","complete","NO","","complete","change","1.120","Ends with dangling quotative participle 'apdinu'.","ஒட்டுனீங்க. okay அதனாலதான் இப்போ apache bike, ஆ apache பத்தி சொல்லுங்க அப்படினேன்,","ta_IN_9829706_20230404_L_00250304"
"1","001.wav","complete","0.90","complete","yes","","incomplete","hold_intra","0.256","Ends with terminal finite verb irukkum.","எல்லாமே clear ஆயிட்டேன் first semester லயே, அப்ப எனக்கு எப்படி இருக்கும் enjoy பண்ணணும் அப்படின்னு தோணும். இப்ப fail ஆயிட்டே இருந்தேன்னு வையேன் அது வந்து கொஞ்சம் அஹ் நமக்கு தோணாது என்னடா இது நம்ம arrear உம் போட்டுட்டு இருக்கோம் enjoy யும் பண்ண மாட்டோம் அப்படின்னு ஒரு இதா இருக்கும். உம் நம்ம","ta_IN_9829502_20230117_R_01449280"
"2","002.wav","complete","0.95","complete","yes","","incomplete","hold_intra","0.480","Ends with complete tag question and laughter.","ஆகும். நம்மது சின்ன முகம்தானே.","ta_IN_9829706_20230404_R_00552288"
"3","003.wav","complete","0.95","complete","yes","","complete","change","0.032","Ends with terminal finite verb irukkum.","full day இருக்கும் இதே தான் full ஆ நீங்க வந்தீங்கன்னு சொன்னா telecalling work கே பாக்குற மாதிரிதான் இருக்கும்","ta_IN_10255833_20230117_R_00722432"
"4","004.wav","complete","0.95","complete","yes","","incomplete","hold_intra","0.416","Ends with a complete reportative statement.","அவங்க பாசமா பேசி நான் குழந் நான் கேட்ப்பேன் அக்கா எப்பிடிக்கா வேல எல்லான் எப்பிடிக்கா போய்ட்டுருக்கு அப்டி சொல்லிட்டு கேட்கும் போது ஆன் ரொம்ப கஷ்டமா இருக்கில்ல? போன மாசம் நாடு ரெண்டு மாசம் அந்த பிள்ளைக்கு பிறந்தனாளு அந்த பிள்ள எறந்து போச்சு அப்டீன்றாங்க எதனாலனு கேட்டா சின்ன கொழந்தைக்கு blood cancer -ஆம் இதெல்லாம்","ta_IN_10255807_20230331_L_01119968"
"5","005.wav","complete","0.95","complete","yes","","complete","change","0.160","Ends with a direct question.","thirteen K வருதா?","ta_IN_9829744_20230117_L_00113216"
"6","006.wav","complete","1.00","complete","yes","","complete","change","0.384","Ends with a direct question tag '-aa'","Hello திருச்சி விமான சேவை நிலையமா","ta_IN_10102663_20230123_R_00010368"
"7","007.wav","complete","0.95","complete","yes","","complete","change","0.064","Ends with terminal finite verb.","ராமசாமின்னு ஆஹ் நாகர்கோவில்ல ஒரு வழக்கறிஞர் வந்து சொல்றாப்டி இந்த சிதம்பரம் பிள்ளை அப்படிங்கிறவர் அங்க சொல்றப்புடி அதுல இருந்துதான், அவரு ஈவெராமசாமின்னு கூப்~ கூப்பிடறது","ta_IN_10219356_20230123_R_01402272"
"8","008.wav","incomplete","0.98","incomplete","yes","","incomplete","hold_intra","0.352","Ends with dangling connector and filler word.","அப்டிலாம் ஒன்னும் இல்ல so என் daughter க்கு வந்து window","ta_IN_10102571_20230331_R_00148800"
"9","009.wav","complete","0.98","complete","yes","","complete","change","0.416","Ends with terminal finite verb potturunga.","ஆஹ் okay madam அது ஒரு கிலோ போற்றுங்க","ta_IN_9829759_20230117_R_00289920"
"10","010.wav","complete","0.95","complete","yes","","complete","change","1.216","Ends with a question tag 'okay-va'","அப்படியென்றால் நீங்கள் Online ல பண்ணுகிறீர்களா நாம் இன்னைக்கு போய் பார்ப்போம் நன்றாக இருந்தது எஎன்றால் எடுத்துக்கொள்ளலாம் இல்லையென்றால் நாம் Online ல யே எடுத்துக்கொள்ளலாம் Ok வா","ta_IN_9829387_20230117_R_00213696"
"11","011.wav","complete","0.95","complete","yes","","complete","change","0.768","Ends with a direct question tag.","recharge பண்ணுங்க வந்து இருக்கு mam அப்போ நீங்க recharge பண்ணியிருக்கிங்களா","ta_IN_9829627_20230123_R_00141536"
"12","012.wav","complete","0.95","complete","yes","","complete","change","0.416","Ends with a complete nominal predicate statement.","அய்யோ Fan எல்லா இதுலையும் fan இருக்குங்க fan வந்து mandatory ல fan இருக்கு single single room ல மட்டும் தான் AC","ta_IN_9829744_20230117_R_00414432"
"13","013.wav","complete","0.95","complete","yes","","incomplete","hold_intra","0.256","Ends with terminal finite verb irukkum.","இருக்கும் நீங்க வேணா பாத்திங்கண்ணா sleep பண்ணிட்டு போற மாதிரி இருக்கும் எந்த disturbance ம் இல்லாம இருக்கும்","ta_IN_10103101_20230331_L_00404288"
"14","014.wav","complete","0.95","complete","yes","","complete","change","0.224","Ends with polite request 'sollunga madam'","ஆஹ் okay madam இந்த twenty three க்குள்ள சொல்றீங்களா madam twenty three thousand க்குள்ள சொல்லுங்களேன். அதான் twenty-five இருந்தாக்கூட okay madam twenty five இருந்தாக்கூட எனக்கு okay தான். twenty அந்த range ல எடுத்தா தான் நல்லா இருக்கும் அப்படின்னு சொல்றான். ஒரு அஞ்சு ஆறு வருஷம் use பண்ற மாதிரி அப்படின்னு சொல்லிட்டு ஒரு twenty five குள்ள சொல்லுங்க madam","ta_IN_10102929_20230117_R_00147872"
"15","015.wav","complete","0.95","complete","yes","","incomplete","hold_intra","0.224","Ends with terminal finite verb.","sir நா சொன்ன மாறியே நீங்க பண்ணுங்க sir old card block பண்ணிட்டு new card அ","ta_IN_10102927_20230328_L_00234208"
"16","016.wav","complete","0.95","complete","yes","","complete","change","1.216","Ends with a direct question 'mudiyuma'.","ஆனா இது கண்டிப்பா மாத்தி குடுப்பேங்கன்ன அந்த உறுதி அளிக்கணும் அதுதான் எனக்கு ரொம்ப முக்கியம் கண்டிப்பா ஒங்களால உறுதியா ஒங்களால சொல்ல முடியும்மா இந்த seat வந்து கண்டிப்பா ஒங்களுக்கு வந்து குத்துருவேன் sir அப்டின்னு சொல்லிட்டு அந்த உறுத்திய ஒங்களால குடுக்க முடியும்மா","ta_IN_10102663_20230123_R_00348480"
"17","017.wav","complete","0.95","complete","yes","","complete","change","0.480","Ends on a terminal finite verb.","பண்றீங்க அவன் வந்து கத்திட்டு இருக்கான்.","ta_IN_10102694_20230117_R_00510944"
"18","018.wav","incomplete","0.95","incomplete","yes","","incomplete","hold_intra","0.256","Ends on verbal participle 'paathu'","நல்ல cooling இருக்க place பாத்து","ta_IN_9829446_20230331_R_01440288"
"19","019.wav","complete","1.00","complete","yes","","complete","change","1.376","Ends with a direct question expecting an answer.","சரி okay mam வேற எந்த details ஆஹ் வேணுமா? mam","ta_IN_9829836_20230331_R_00805792"
"20","020.wav","complete","0.95","complete","yes","","incomplete","hold_intra","0.288","Ends on terminal finite verb 'theriyudhu'.","க்காக தானஅது உண்மை தான் போகணும் ஆனா","ta_IN_9829446_20230331_L_01629792"
"21","021.wav","complete","0.95","complete","yes","","complete","change","0.224","Ends with terminal finite verb and polite address","ஆ, இப்ப, first கன்னியாகுமரியில, என்ன special ன்னு, பாத்தீங்கன்னா, ஆ, விவேகானந்தர் மண்டபம் இருக்கு first பக்கத்துல, அது பக்கத்துல திருவள்ளுவர் சிலை இருக்கு. but இது நம்ம boat ல போற மாதிரி இருக்கும். one to five க்குள்ள, நம்ம அங்க reach ஆயிடலாம் sir","ta_IN_10102450_20230112_L_00326464"
"22","022.wav","complete","0.95","complete","yes","","complete","change","0.224","Ends with a direct question expecting an answer.","okay mam available லா இருக்கு mam திருச்சியில available லா இருக்கு. நீங்க நா கேட்கிற question என்னா நீங்கா எப்போ போகணும் இப்போ இன்னைக்கு night friday வந்து பார்த்தீங்கன்னா இன்னைக்கு இல்ல tomorrow இல்லனா tomorrow after ஆ அந்த மாதிரியா mam","ta_IN_10103101_20230331_L_00062368"
"23","023.wav","complete","0.90","complete","yes","","complete","change","0.480","Ends with a complete question tag.","உம் சாப்பிடதான","ta_IN_10246900_20230328_L_00080032"
"24","024.wav","complete","0.95","complete","yes","","incomplete","hold_intra","0.256","Ends with terminal finite verb.","இருக்கும் okay ங்களா. உங்க வீட்ல எத்தன பேர் ஒருத்தர்க்கு நீங்க insurance","ta_IN_10102781_20230331_L_00504096"
"25","025.wav","incomplete","0.95","incomplete","yes","","incomplete","hold_intra","0.256","Ends with dependent connector 'appram' (after).","மறுபடியும் phone பண்ணா phone not reachable அஹ் switch off அந்த மாதிரி வந்துகிட்டே அந்த one day full ஆ போச்சு மறுபடியும் கூப்பிடுறாங்க phone எடுக்க மாட்டேங்கறாங்க ஏதாவது ஒரு reason சொல்றாங்க இந்த இடத்துல வந்துருச்சு driver ஏதாவது ஒரு reason சொல்லிட்டே இருந்திருக்காங்க அப்புறம் மூணாவது நாள் packers complaint பண்ணி அப்படி இப்படின்னு பேசினதுக்கு அப்புறம்","ta_IN_9829467_20230117_L_01000128"
"26","026.wav","incomplete","0.95","incomplete","yes","","incomplete","hold_intra","1.952","Ends on dangling quotative participle appadinnu.","அழுக்காயிரும் officer","ta_IN_10264720_20230331_R_01401056"
"27","027.wav","complete","0.90","complete","yes","","incomplete","hold_intra","0.480","Ends with a complete question.","நீங்க கேள்வி பட்டு இருப்பிங்க. இருட்டு கடை அல்வான்னு ரொம்ப ரொம்ப famous first of all அந்த கடை ஆரம்பிக்கும் பொழுது ஒரே பாரு கடை தானா இருக்குமா அந்த light வந்து evening time ஆனா சோலா குல்லையே அந்த கடைல வித்துருமா? அல்வா எல்லாமே","ta_IN_9829608_20230404_L_00222848"
"28","028.wav","incomplete","0.90","incomplete","yes","","incomplete","hold_intra","0.928","Ends with dangling connector 'illa' indicating continuation.","okay okay sister அப்பறம் வேற BSNL வந்து three G வரைக்கு தான் இருக்கு. four G இன்னும் வரல.","ta_IN_9829575_20230331_R_00885664"
"29","029.wav","complete","0.95","complete","yes","","incomplete","hold_intra","0.256","Ends with a terminal finite verb.","okay நா december வென christmas time ல போன நல்ல இருக்கும் அப்படி நா december போயிருந்தேன். december","ta_IN_9829853_20230331_L_00122752"
"30","030.wav","incomplete","0.95","incomplete","yes","","incomplete","hold_intra","0.576","Ends on dangling noun 'payment' mid-thought.","வீட்டு number னாலதான், payment அ, அதான் சொல்லுங்க","ta_IN_10102885_20230404_R_00222368"
"31","031.wav","complete","1.00","complete","yes","","complete","change","1.184","Ends with a direct question tag 'solriyaa'.","social insurance அம்மா, இப்பதாம்மா, நீ, correct ஆன point கேட்கிற. social ன்னா என்ன first நீ உனக்கு தெரிஞ்சதை சொல்றியா?","ta_IN_9829468_20230404_L_00606752"
"32","032.wav","incomplete","0.95","incomplete","yes","","incomplete","hold_intra","0.224","Ends on an incomplete conditional explanation","நூறு ரூபா போடிங்கனா பத்து ரூபா ஆயிரருபா","ta_IN_10103136_20230123_L_00635392"
"33","033.wav","complete","0.95","complete","yes","","complete","change","0.064","Ends with terminal finite verb irukkum.","கண்டிப்பா ஆமா, அங்க வந்து, குரங்கு, இதெல்லாம் நிறைய பாக்கலாம், நம்ம. ஆ, அங்க வந்து, திருப்பரப்பு falls குத்தாலம் அருவி இரண்டுமே இருக்கு. நம்ம இரண்டு இடமுமே நமக்கு cover ஆகற மாதிரிதான் இருக்கும்.","ta_IN_10102450_20230112_L_00442400"
"34","034.wav","complete","0.95","complete","yes","","complete","change","0.672","Ends with a direct question expecting response.","பரவாயில்லல எத்தன மணிக்கு போனுமா காலைல","ta_IN_10264659_20230328_R_00171424"
"35","035.wav","complete","0.95","complete","yes","","complete","change","1.216","Ends with a complete direct question.","ma'am அது எப்படி ma'am நீங்க amount ஏறலைனு சொல்ல முடியும்.","ta_IN_10103148_20230112_R_00112960"
"36","036.wav","complete","0.98","complete","yes","","complete","change","0.192","Ends with a direct question expecting response.","போடணும கொஞ்சம் explain பண்றிங்களா","ta_IN_9829400_20230328_L_00024384"
"37","037.wav","complete","0.95","complete","yes","","complete","change","1.056","Ends with a polite terminal closer.","அழைச்சதுக்கு ரொம்ப நன்றி mam","ta_IN_10264671_20230404_L_00675776"
"38","038.wav","complete","0.95","complete","yes","","incomplete","hold_intra","0.480","Ends with a complete colloquial statement.","இரவு தூங்க மாட்டேன் ஏனா வந்து New year வேற celebration இங்க வேற friends கூட்டிட்டு போயிருவானுங்க என்னைய","ta_IN_10246900_20230328_L_00505824"
"39","039.wav","complete","0.95","complete","yes","","complete","change","0.512","Ends with a direct question 'mudiyumaa'","ல எதோ Automatic ஆ ஏதாவது அமுக்கிருக்கும். அதுக்கெல்லாம் நான் பொறுப்பாக முடியுமா?","ta_IN_10102694_20230117_R_00154560"
"40","040.wav","incomplete","1.00","incomplete","yes","","incomplete","hold_intra","0.544","Ends on dependent genitive suffix -oda.","actual ஆ அஹ் உங்க செட்டிநாடு மெஸ் ஓட அஹ் non veg","ta_IN_10102878_20230117_R_00136288"
"41","041.wav","complete","0.95","complete","yes","","complete","change","1.056","Ends with a complete suggestion tag.","பேசாம இல்லாட்டி Royal Enfield எடுக்கலாம்ல?","ta_IN_9829706_20230404_R_00106176"
"42","042.wav","complete","0.95","complete","yes","","incomplete","hold_intra","0.320","Ends on terminal finite verb sonna.","உம் பரவால்ல எனக்குமே தேவையான details நிறையவே நீ சொன்ன ஆஹ் நீ","ta_IN_9829467_20230117_R_01709184"
"43","043.wav","complete","0.95","complete","yes","","complete","change","1.248","Ends with a direct question tag.","வந்த மருத்துவர்னு நிரூபிக்கிறாரா.","ta_IN_10255855_20230117_R_00449600"
"44","044.wav","complete","0.95","complete","yes","","incomplete","hold_intra","1.664","Ends with question tag expecting confirmation","நம்ம உடம்புக்கு ஏதாவது ஒன்னு இருக்கு அப்படின்னா medical insurance கொடுக்க மாட்டாங்க சரிங்களா.","ta_IN_10264671_20230404_L_00153088"
"45","045.wav","complete","0.95","complete","yes","","complete","change","0.768","Ends with terminal finite verb 'கேட்டேன்'.","மழயில மழ வந்துனு இருக்கே ஊருக்கு வரியான்னு கேட்டன்","ta_IN_10255843_20230117_L_01162656"
"46","046.wav","complete","0.95","complete","yes","","complete","change","0.288","Ends with a terminal finite verb.","இல்லை madam, எதான் எனக்கு வந்து, ரெண்டு பல்லு எடுத்துட்டுதான் வந்து, அந்த braces போட்டாங்க.","ta_IN_10102714_20230112_R_00253216"
"47","047.wav","incomplete","0.95","incomplete","yes","","incomplete","hold_intra","0.704","Open-ended list lacking wrap-up verb.","கிலோ உள்ளுந்தபருப்பு ஒரு கிலோ","ta_IN_9829759_20230117_R_00676384"
"48","048.wav","complete","0.95","complete","yes","","complete","change","0.640","Ends with terminal imperative verb sollu.","ஓ, அப்படி என்னதான் பண்ண? கொஞ்சம் மெதுவா சொல்லு","ta_IN_9829502_20230117_L_00144000"
"49","049.wav","complete","0.98","complete","yes","","complete","change","1.472","Ends with a direct question tag.","ஆஹ் வேற office work எல்லாம் எப்படி போய்கிட்டு இருக்கு. நா இன்னைக்கு இல்லாம ரொம்ப jolly ஆஹ் இருந்துருப்பீங்க நினைக்கிறேன்","ta_IN_9829608_20230404_L_01743072"
"50","050.wav","complete","0.95","complete","yes","","incomplete","hold_intra","0.352","Ends on terminal finite verb 'anupuren'.","okay madam ஒரு நிமிஷம்","ta_IN_10103148_20230112_R_00153760"
"52","052.wav","complete","0.95","complete","yes","","complete","change","0.256","Ends with a complete statement and falling pitch.","சேரி சேரி wait பண்ணுங்க கண்டிப்பா கிடைக்கும் நமக்காகவே.","ta_IN_10264642_20230117_R_00137888"
"53","053.wav","complete","0.95","complete","yes","","complete","change","0.096","Ends with a polite terminal finite verb.","okay mam. okay mam. அதுலையே குடுத்துருங்க madam.","ta_IN_10102929_20230117_R_00638784"
"54","054.wav","complete","0.95","complete","yes","","incomplete","hold_intra","0.384","Ends with terminal finite verb refer panren","இல்ல கதிர் எனக்கு details சரியா தெரியல உம் நான் கேட்கிறேன் கேட்டுட்டு உனக்கு refer பண்ற","ta_IN_9829467_20230117_L_01314016"
"55","055.wav","complete","0.95","complete","yes","","incomplete","hold_intra","1.632","Ends with a complete nominal predicate statement.","ஆ. extra five thousand போட்றதுல உங்களுக்கு ஒன்னும் problem இல்லையே. quality தானே","ta_IN_10102828_20230328_L_00697600"
"56","056.wav","complete","0.95","complete","yes","","complete","change","0.480","Ends with a direct question.","மாங்காடு medical college okay ங்க இப்ப உங்களுக்கு எப்படி full ஆஹ் எல்லாருமே female ஆஹ் இல்ல male ஆஹ்?","ta_IN_9829744_20230117_R_00054560"
"57","057.wav","incomplete","1.00","incomplete","yes","","incomplete","hold_intra","0.960","Ends on filler 'vandhu' indicating incomplete thought.","ஹம்","ta_IN_9829881_20230404_R_00871520"
"58","058.wav","complete","0.95","complete","yes","","incomplete","hold_intra","0.288","Ends with terminal finite verb sollala.","ஆஹ் அதுவும் நல்லது தான் என் friend உமே அங்க work பண்ற இடத்துல என்னனா அந்த invoice ஓட தான் அலைவான் ஏன்னா கூட போய் இருக்கேன் but எனக்கு further ஆ இத பத்தி details தெரியல அவன் என்ன இந்த","ta_IN_9829467_20230117_R_01506656"
"59","059.wav","complete","0.95","complete","yes","","complete","change","0.896","Ends with a direct question tag.","எத்தன பேர் கூட வேல பாக்குறாங்க ஒரு முப்பது பேர் பாப்பாங்களா","ta_IN_10264659_20230328_R_01062880"
"60","060.wav","incomplete","1.00","incomplete","yes","","incomplete","hold_intra","0.448","Ends with concessive suffix -aalum.","நானும் ஆஹ் உன்னட்டயும் அதான் எதுவுமே சொல்லல இங்க எல்லான் உனக்கு எல்லாமே தெரியும் உனக்கு வந்து பக்கத்துல தான் இருந்தாலும் நாம்ம எல்லாமே தெரிஞ்சுகிட்டு","ta_IN_10264659_20230328_L_00507904"
"61","061.wav","complete","0.90","complete","yes","","incomplete","hold_intra","0.320","Ends with finite verb 'irukkum' completing thought.","காரையார் dam னு சொல்லிட்டு இருக்கும்.","ta_IN_9829608_20230404_L_00635488"
"62","062.wav","incomplete","0.95","incomplete","yes","","incomplete","hold_intra","0.256","Ends with verbal participle indicating continuation.","அன்னைக்கு வந்து உங்க Office ல வந்து","ta_IN_9829400_20230328_L_00776864"
"63","063.wav","complete","0.95","complete","yes","","incomplete","hold_intra","1.440","Ends with question tag 'illaiya'.","இருக்குலயா நல்லா விஷயங்கள் நெறையா இருக்கு முதலெல்லாம் வந்து நம்ம போகபோகதான பக்குவம் ஆகுறோம். அப்போவே நம்ம எல்லாமே ஆகாது இல்லையா,","ta_IN_10264611_20230117_L_01409312"
"64","064.wav","incomplete","1.00","incomplete","yes","","incomplete","hold_intra","1.504","Ends with dangling connector 'adhey pola ippa'","ஆஹ் அதே","ta_IN_10255852_20230117_R_00946720"
"65","065.wav","complete","0.95","complete","yes","","incomplete","hold_intra","1.152","Ends with terminal finite verb 'varalaam sir'.","sir அந்த மாதிரி, எந்த issue ம் இருக்காதுங்க sir நீங்க கவலையே பட வேணாம். நீங்க தாராளமா வரலாம் sir உங்களுக்கு எந்த","ta_IN_10102687_20230112_L_00576736"
"66","066.wav","incomplete","0.95","incomplete","yes","","incomplete","hold_intra","0.928","Ends on incomplete conditional verb","ஆஹ் உங்க இஷ்டம் mam one crore வரைக்கும்","ta_IN_10264671_20230404_L_00432416"
"67","067.wav","complete","0.95","complete","yes","","incomplete","hold_intra","0.256","Ends with terminal finite predicate.","ஆமா mam ஆமா mam நெறையாவே அந்த கடைய பத்தி கேள்வி பட்டு இருக்கேன். அது மட்டும் இல்லாம இன்னும் என்ன என்ன special இருக்கு அந்த நெல்லையப்பர் கோவில் கேள்வி பட்டு இருக்கேன். இன்னும் போனது இல்லை.","ta_IN_9829608_20230404_R_00263872"
"68","068.wav","complete","0.95","complete","yes","","incomplete","hold_intra","0.384","Ends with the question tag 'theriyumaa'.","அந்த இப்ப சில cinema படத்துல இந்த கதை மாதிரி நல்ல கதைகள் உள்ள படங்கள் இருக்கும் தெரியுமா","ta_IN_9829502_20230117_R_01309536"
"69","069.wav","complete","0.95","complete","yes","","complete","change","0.032","Ends with a terminal finite verb","அவங்கள ஒம்போது தூங்க வச்சுருவேன் எப்படியாச்சும் தூங்க வச்சுருவேன்.","ta_IN_10264611_20230117_R_01659296"
"70","070.wav","complete","0.95","complete","yes","","complete","change","1.248","Ends with terminal finite verb pannidraanga.","அப்பதான் பார்த்தீங்கன்னா, திமுக அப்படின்னு, தனிக்கட்சியைப் போட்டு, open பண்ணிடுறாங்க.","ta_IN_10219356_20230123_R_00627872"
"71","071.wav","complete","1.00","complete","yes","","complete","change","0.256","Ends with a direct question.","ஆஹ் சென்னைல எந்த ஏரியா னு தெரிஞ்சிகலம்மா?","ta_IN_9829744_20230117_R_00036608"
"72","072.wav","complete","0.95","complete","yes","","complete","change","0.224","Ends with terminal finite verb 'mudiyadhu'.","ங்களா இந்த one month க்கு அந்த மாதிரி வேண்டாம் sir போட்டா ஒரு six month இல்லை one year அந்த மாதிரி போடறமாதிரி ஏதும் plan இருக்கா? ஏன்னா monthly monthly என்னால பண்ணீட்டு இருக்க முடியாது","ta_IN_10102707_20230112_L_00426272"
"73","073.wav","incomplete","0.90","incomplete","yes","","incomplete","hold_intra","0.224","Dangling time phrase setting context.","sir ஏ morning ங்கு nine fifteen flight டே","ta_IN_10102687_20230112_R_00079296"
"74","074.wav","incomplete","1.00","incomplete","yes","","incomplete","hold_intra","0.768","Speaker self-corrects mid-speech with a repair.","இல்ல மாம் உங்களுக்கு fifty percentage எடுத்திருவாங்க mam. approximateஅ அப்பறோம் என்ன பண்ணுவாங்க. sorry thirty இல்ல, sorry mam thirty இல்ல.","ta_IN_10102473_20230331_L_00651968"
"75","075.wav","complete","0.95","complete","yes","","complete","change","0.224","Ends with a direct question.","daily யும் கேட்கணுமா எப்படி டி?","ta_IN_9829502_20230117_R_00673664"
"76","076.wav","complete","0.98","complete","yes","","complete","change","0.576","Ends with a direct question expecting an answer.","அங்க~அங்க office ல எப்படி எல்லாருமே okay வா? உங்களுக்கு comfortable ஆ இருக்கா?","ta_IN_10255833_20230117_L_00164832"
"77","077.wav","complete","0.95","complete","yes","","incomplete","hold_intra","0.928","Ends with a terminal finite verb.","cell ஏ காணொம் அந்த பறந்து போயிக்கிது","ta_IN_10264720_20230331_R_01312096"
"78","078.wav","complete","0.95","complete","yes","","complete","change","0.320","Ends with a direct question.","எப்ப பார்த்த நீ அவங்கல","ta_IN_10264659_20230328_L_00446624"
"79","079.wav","complete","1.00","complete","yes","","complete","change","0.320","Ends with a direct question.","okay mam okay mam. இல்ல நீங்க work பண்ணிக்கிட்டிருக்கீங்களா இல்ல வீட்லதா இருக்கீங்களா?","ta_IN_10103114_20230328_L_00087232"
"80","080.wav","incomplete","1.00","incomplete","yes","","complete","change","0.288","Ends on dictation pre-announcement visa number","okay நான் number சொல்றேன் sir visa number","ta_IN_10102687_20230112_R_00160672"
"81","081.wav","complete","0.95","complete","yes","","complete","change","0.224","Ends with a complete conversational acknowledgement.","ஓ, சரி, சரி, சரி. உம்","ta_IN_10255808_20230117_R_01043200"
"82","082.wav","complete","0.95","complete","yes","","complete","change","0.416","Ends with terminal finite predicate undu.","என் என் department ல இவ்வளவு பேர் உண்டு, நாலு பேர் உண்டு","ta_IN_9829502_20230117_L_00412192"
"84","084.wav","incomplete","1.00","incomplete","yes","","incomplete","hold_intra","0.320","Ends on incomplete pronoun 'naan'.","mam. எல்லா details ம் சொல்லுங்க. நான் நீங்க சொல்லறதை வச்சு நான் பன்றேன்","ta_IN_10102739_20230329_R_00141600"
"85","085.wav","incomplete","1.00","incomplete","yes","","incomplete","hold_intra","0.288","Ends with dependent suffix indicating continuation.","Money இது வந்து நீங்க Pay பண்ற மாதிரி இருக்கும் அதுதான் அதுதான் என்ன","ta_IN_9829400_20230328_R_00114208"
